,title,artists_name,artists_id,album_name,album_img,album_img_phone,album_url,release_date,duration_min,duration_ms,popularity,song_url,song_preview_url,rank,artist_popularity,artist_img_phone,artist_img,artist_url,genre
34,ツキミソウ,Novelbright,0jWCX6zp4RjWrmZRxJ2uri,開幕宣言,https://i.scdn.co/image/ab67616d00001e02a15dc066cec020b5da991c34,https://i.scdn.co/image/ab67616d00004851a15dc066cec020b5da991c34,https://open.spotify.com/album/2l0vCKtHcqHyticG9vDDCg,2021-04-26,5.2,312053,61,https://open.spotify.com/track/6sElEqOIGENWjpxGFeo5ct,,12,61.0,https://i.scdn.co/image/ab6761610000f1788b0e662eb184d6c4f1e56343,https://i.scdn.co/image/ab676161000051748b0e662eb184d6c4f1e56343,https://open.spotify.com/artist/0jWCX6zp4RjWrmZRxJ2uri,J-rock
35,VIVID VICE,Who-ya Extended,3sE3971KYAw7t9ENx8Eqwk,VIVID VICE,https://i.scdn.co/image/ab67616d00001e02113ad52fd0dde0a7a1db81f1,https://i.scdn.co/image/ab67616d00004851113ad52fd0dde0a7a1db81f1,https://open.spotify.com/album/7fjE2Zl2tNBBidhNGlo7AS,2021-01-16,3.09,185173,60,https://open.spotify.com/track/4R6yPy83vDEZtwJsBavUfo,https://p.scdn.co/mp3-preview/f2de1555f48ebfe809a16dded92e98088cd3b246?cid=d3f912bd0165481b94eea03be5fb6b38,13,46.0,https://i.scdn.co/image/ab6761610000f1788ae8d1665469f05671d04b50,https://i.scdn.co/image/ab676161000051748ae8d1665469f05671d04b50,https://open.spotify.com/artist/3sE3971KYAw7t9ENx8Eqwk,J-poprock
36,Doushite,"TakaseToya', 'emi noda","013zmpwJVA8E15pb1hM68O', '5Ls8r3Cgwahu5qArnlyaR4",The 2nd of Undecimber,https://i.scdn.co/image/ab67616d00001e02ec2e7acee9fe2041e6b0a853,https://i.scdn.co/image/ab67616d00004851ec2e7acee9fe2041e6b0a853,https://open.spotify.com/album/5Fc8bxHb3MyoD1Ygi7QeKB,2022-12-07,3.02,181133,60,https://open.spotify.com/track/6wGkomWcIw53tCdLa2rBfN,https://p.scdn.co/mp3-preview/fd445b64477b997cf8da871a5f208892f262fa7a?cid=d3f912bd0165481b94eea03be5fb6b38,14,,,,,
37,虹,SUDA MASAKI,6n4SsAp5VjvIBg3s9QCcPX,COLLAGE,https://i.scdn.co/image/ab67616d00001e02171231dbbb138cad4af3024c,https://i.scdn.co/image/ab67616d00004851171231dbbb138cad4af3024c,https://open.spotify.com/album/6wxmZtLnco0Ett7Hz4TS19,2022-03-09,4.29,257398,59,https://open.spotify.com/track/7eqjbcOZTgZbV0lX2ghtfV,https://p.scdn.co/mp3-preview/695c82aece4e52b8bc0e938be02e90d4aaac31ad?cid=d3f912bd0165481b94eea03be5fb6b38,15,59.0,https://i.scdn.co/image/ab6761610000f178fcb68f071eddb72b844ee9e0,https://i.scdn.co/image/ab67616100005174fcb68f071eddb72b844ee9e0,https://open.spotify.com/artist/6n4SsAp5VjvIBg3s9QCcPX,Anime rock
38,虹,SUDA MASAKI,6n4SsAp5VjvIBg3s9QCcPX,COLLAGE,https://i.scdn.co/image/ab67616d00001e02171231dbbb138cad4af3024c,https://i.scdn.co/image/ab67616d00004851171231dbbb138cad4af3024c,https://open.spotify.com/album/6wxmZtLnco0Ett7Hz4TS19,2022-03-09,4.29,257398,59,https://open.spotify.com/track/7eqjbcOZTgZbV0lX2ghtfV,https://p.scdn.co/mp3-preview/695c82aece4e52b8bc0e938be02e90d4aaac31ad?cid=d3f912bd0165481b94eea03be5fb6b38,15,59.0,https://i.scdn.co/image/ab6761610000f178fcb68f071eddb72b844ee9e0,https://i.scdn.co/image/ab67616100005174fcb68f071eddb72b844ee9e0,https://open.spotify.com/artist/6n4SsAp5VjvIBg3s9QCcPX,J-pop
39,虹,SUDA MASAKI,6n4SsAp5VjvIBg3s9QCcPX,COLLAGE,https://i.scdn.co/image/ab67616d00001e02171231dbbb138cad4af3024c,https://i.scdn.co/image/ab67616d00004851171231dbbb138cad4af3024c,https://open.spotify.com/album/6wxmZtLnco0Ett7Hz4TS19,2022-03-09,4.29,257398,59,https://open.spotify.com/track/7eqjbcOZTgZbV0lX2ghtfV,https://p.scdn.co/mp3-preview/695c82aece4e52b8bc0e938be02e90d4aaac31ad?cid=d3f912bd0165481b94eea03be5fb6b38,15,59.0,https://i.scdn.co/image/ab6761610000f178fcb68f071eddb72b844ee9e0,https://i.scdn.co/image/ab67616100005174fcb68f071eddb72b844ee9e0,https://open.spotify.com/artist/6n4SsAp5VjvIBg3s9QCcPX,Japanese punk rock
40,ヒーローの居ない街,Yuuri,0ixzjrK1wkN2zWBXt3VW3W,弐,https://i.scdn.co/image/ab67616d00001e02188327ac9022d86ad2dd6483,https://i.scdn.co/image/ab67616d00004851188327ac9022d86ad2dd6483,https://open.spotify.com/album/6ClMd4vNeZ6cmrRNmOqAoY,2023-03-29,3.25,194826,58,https://open.spotify.com/track/1UyXobBFQBAckYnT4qZp0g,https://p.scdn.co/mp3-preview/c2e3d8e98a12aafc8bf95f915aec3e273bac8794?cid=d3f912bd0165481b94eea03be5fb6b38,16,71.0,https://i.scdn.co/image/ab6761610000f1782a98f9ecf7217c8f910f9f83,https://i.scdn.co/image/ab676161000051742a98f9ecf7217c8f910f9f83,https://open.spotify.com/artist/0ixzjrK1wkN2zWBXt3VW3W,J-pop
41,ヒーローの居ない街,Yuuri,0ixzjrK1wkN2zWBXt3VW3W,弐,https://i.scdn.co/image/ab67616d00001e02188327ac9022d86ad2dd6483,https://i.scdn.co/image/ab67616d00004851188327ac9022d86ad2dd6483,https://open.spotify.com/album/6ClMd4vNeZ6cmrRNmOqAoY,2023-03-29,3.25,194826,58,https://open.spotify.com/track/1UyXobBFQBAckYnT4qZp0g,https://p.scdn.co/mp3-preview/c2e3d8e98a12aafc8bf95f915aec3e273bac8794?cid=d3f912bd0165481b94eea03be5fb6b38,16,71.0,https://i.scdn.co/image/ab6761610000f1782a98f9ecf7217c8f910f9f83,https://i.scdn.co/image/ab676161000051742a98f9ecf7217c8f910f9f83,https://open.spotify.com/artist/0ixzjrK1wkN2zWBXt3VW3W,Japanese singer-songwriter
42,ヒーローの居ない街,Yuuri,0ixzjrK1wkN2zWBXt3VW3W,弐,https://i.scdn.co/image/ab67616d00001e02188327ac9022d86ad2dd6483,https://i.scdn.co/image/ab67616d00004851188327ac9022d86ad2dd6483,https://open.spotify.com/album/6ClMd4vNeZ6cmrRNmOqAoY,2023-03-29,3.25,194826,58,https://open.spotify.com/track/1UyXobBFQBAckYnT4qZp0g,https://p.scdn.co/mp3-preview/c2e3d8e98a12aafc8bf95f915aec3e273bac8794?cid=d3f912bd0165481b94eea03be5fb6b38,16,71.0,https://i.scdn.co/image/ab6761610000f1782a98f9ecf7217c8f910f9f83,https://i.scdn.co/image/ab676161000051742a98f9ecf7217c8f910f9f83,https://open.spotify.com/artist/0ixzjrK1wkN2zWBXt3VW3W,Japanese teen pop
43,告白直前酸欠状態,Yuuri,0ixzjrK1wkN2zWBXt3VW3W,弐,https://i.scdn.co/image/ab67616d00001e02188327ac9022d86ad2dd6483,https://i.scdn.co/image/ab67616d00004851188327ac9022d86ad2dd6483,https://open.spotify.com/album/6ClMd4vNeZ6cmrRNmOqAoY,2023-03-29,3.13,187586,56,https://open.spotify.com/track/2Bov530xcE7aEN6XCZZQsE,https://p.scdn.co/mp3-preview/2fb37ace36392aa68d66925d48b861909aa3b8d2?cid=d3f912bd0165481b94eea03be5fb6b38,17,71.0,https://i.scdn.co/image/ab6761610000f1782a98f9ecf7217c8f910f9f83,https://i.scdn.co/image/ab676161000051742a98f9ecf7217c8f910f9f83,https://open.spotify.com/artist/0ixzjrK1wkN2zWBXt3VW3W,J-pop
