,song_id,title,artists_id,artists_name,album_id,album_name,release_date,duration_min,popularity,song_url
26,1xfuDYhMxc7yaGy4vyzmdd,宝物,78umxbPFlNNgIpEztuClkP,Maiko Fujita,5ZVqYdNvMyR7sVUl4STUXk,10th Anniversary Best,2016-11-23,5.32,14,https://open.spotify.com/track/1xfuDYhMxc7yaGy4vyzmdd
27,2twCEq28Qw7FcsznfX4HNv,Howling,5pjjlQXYjoMFWdjdKOre9s,ASCA,2XJrLMBNy1Ln56nHrW1Uic,Howling,2020-10-04,4.16,55,https://open.spotify.com/track/2twCEq28Qw7FcsznfX4HNv
28,0PcdDCdpDQt6eikwfX7ToD,天秤-Libra-,"2ayMogRmamCnzMAk4YiFAz', '5pjjlQXYjoMFWdjdKOre9s","Takanori Nishikawa', 'ASCA",5FVdM0C8260D3HrsxQwI0L,Libra,2020-05-27,4.77,36,https://open.spotify.com/track/0PcdDCdpDQt6eikwfX7ToD
29,1qamKAsxYS4dE20xD1Keeq,世界とかくれんぼ - 国江田計ver.,6Na6YdJLEeBDbP1bZv6q7a,国江田計 (CV: 阿部敦),7gU3VRaRiSBPaynGeLjhTJ,世界とかくれんぼ,2020-12-04,3.91,16,https://open.spotify.com/track/1qamKAsxYS4dE20xD1Keeq
30,2j1r3ubqqxuoTFaPVnTV1j,ANIMA,2SIBY7Jwq1kYng12Zguo3C,ReoNa,0IDNAr9hNxxTC8dBwcsvhW,unknown,2020-10-07,4.49,61,https://open.spotify.com/track/2j1r3ubqqxuoTFaPVnTV1j
31,19aiC9azpnoWGcUBERXFQS,流星,18moNotPmBWa2YZtRnIoZ3,Eir Aoi,79kjqN83NOyuQkxVhIICNz,Fragment (Special Edition),2019-04-17,4.21,46,https://open.spotify.com/track/19aiC9azpnoWGcUBERXFQS
32,6dpsJTzj5rwbeZ300HoyaM,歌えばそこに君がいるから,3O0kLS5sLZ41XZRxjBKmLF,Konomi Suzuki,12VMVfkAVsxwtQQKCosuRn,歌えばそこに君がいるから(TVアニメ「LOST SONG」オープニング主題歌),2018-05-23,4.74,38,https://open.spotify.com/track/6dpsJTzj5rwbeZ300HoyaM
33,05rUxC667EipVkMHycny90,繭,4HbLnUx8vMn9Dw09sJDX2u,(mao),3HrWUjZce6dQamzQfLrBqS,花のあとさき,2012-08-08,4.32,11,https://open.spotify.com/track/05rUxC667EipVkMHycny90
34,256HA7VZeTUiV16XKgvOnd,Naru,35AeYLIKrorZDAxsb40vVZ,ラックライフ,6vfJKYfntN3uCqUg6hoe0k,Naru,2018-11-14,4.09,42,https://open.spotify.com/track/256HA7VZeTUiV16XKgvOnd
35,2DMzhsvzYuC9TDucIpBnb6,Deep Blue,3i7tuzRfutJGAUowspOM1f,Kashitaro Ito,1visQvslL4KGKbU3mZQkDa,Deep Blue,2021-03-07,4.55,27,https://open.spotify.com/track/2DMzhsvzYuC9TDucIpBnb6
36,3fJsH4PY6V2a1cTOjkr75v,世界とかくれんぼ - 都築潮ver.,2EZcXq4boUMbuGRsSWbjeC,都築潮 (CV: 川原慶久),7gU3VRaRiSBPaynGeLjhTJ,世界とかくれんぼ,2020-12-04,3.91,10,https://open.spotify.com/track/3fJsH4PY6V2a1cTOjkr75v
37,5qSmsjitSxDvcT2MCej5jX,星が降るユメ,18moNotPmBWa2YZtRnIoZ3,Eir Aoi,0dUGAgEquPOR2iLXdBgQBM,Hoshiga Furu Yume,2019-11-27,4.15,43,https://open.spotify.com/track/5qSmsjitSxDvcT2MCej5jX
38,4TIVwsNWIb39Js1bEddiWv,二人の彼,78umxbPFlNNgIpEztuClkP,Maiko Fujita,5hSSwIXRMlnfNFyStxurgq,二人の彼,2019-10-19,4.92,12,https://open.spotify.com/track/4TIVwsNWIb39Js1bEddiWv
39,5iHVOHtS04MSPZ396j7hK5,"Key -bring it on, my Destiny-",6nvlfxR3ZRCNzw39ZTcGSR,Lenny code fiction,7gneo5XnYXhXXQYfeySZT1,Montage,2019-01-09,4.05,34,https://open.spotify.com/track/5iHVOHtS04MSPZ396j7hK5
40,6Evl1O5RerpzeTqRr3OTnp,振り子,6le80R1opKnTlP4o3KvA2k,Uru,0APa3ClJjBw8qO5OOwtwyj,Break/振り子,2020-10-28,3.96,56,https://open.spotify.com/track/6Evl1O5RerpzeTqRr3OTnp
41,7HneEBTvTra2CRYsxgMOAi,ハルジオン,64tJ2EAv1R6UaZqc4iOCyj,YOASOBI,4sKqN5y5RydUVgSSccH13q,ハルジオン,2020-05-11,3.3,71,https://open.spotify.com/track/7HneEBTvTra2CRYsxgMOAi
42,662s7HlhV1t9qvSKA2pG74,はちみつ色の月,1xwuTSJVlnBEOecAEHGRfY,ITOWOKASHI,178MyVBgrjKDFvwYclbee6,中央突破,2017-06-21,4.62,19,https://open.spotify.com/track/662s7HlhV1t9qvSKA2pG74
43,53DNo7SeJf3L2BfAU3xu26,運命の人,78umxbPFlNNgIpEztuClkP,Maiko Fujita,5hSSwIXRMlnfNFyStxurgq,二人の彼,2019-10-19,4.01,28,https://open.spotify.com/track/53DNo7SeJf3L2BfAU3xu26
44,0cSkn2l67csUljEy0EEBPn,炎,0blbVefuxOGltDBa00dspv,LiSA,1KmL1EZ0Pg9Vj3rPYMDqHY,炎,2020-10-12,4.58,79,https://open.spotify.com/track/0cSkn2l67csUljEy0EEBPn
45,3UqIt9prWWiZCyl3WwDK3I,ふたりごと,"0UwVT0iMLLAa9SUNENg4te', '2BVUhHYQGZDr1YOQuySRuZ","TRUE', '茅原実里",1iccE1950dpEuNrvCojhRn,Sincerely,2018-01-31,4.79,41,https://open.spotify.com/track/3UqIt9prWWiZCyl3WwDK3I
46,3dsw54C5lq2vdrNgp8xhft,Next Destination,6i5Ibaw62PidoTtJ7NlkzZ,Ayahi Takagaki,7ASj6T3GNYYpgJC27UeTwc,individual,2013,4.56,23,https://open.spotify.com/track/3dsw54C5lq2vdrNgp8xhft
47,7v9Ot16Qd1lGM5Tu0icbli,NEVER-END TALE,"6DlsurfNFvjCxgwphqwv9g', '3O0kLS5sLZ41XZRxjBKmLF","Tatsuyuki Kobayashi', 'Konomi Suzuki",0ct86vPnniC0rLNCBLM0CC,NEVER-END TALE,2015-08-19,4.97,51,https://open.spotify.com/track/7v9Ot16Qd1lGM5Tu0icbli
48,4sJS8j1bjvTFXJfr6PCROs,Mirror,1diX6i4LgUKR9qMRrAeGLi,Rei Yasuda,1w7GnPNuJNTlhQc4saNJ8k,Will,2014-10-08,3.94,51,https://open.spotify.com/track/4sJS8j1bjvTFXJfr6PCROs
49,64WsT14hhzXwbTEY1PntsU,虹の彼方に,2SIBY7Jwq1kYng12Zguo3C,ReoNa,0QB93SqXnduBcUSRVHTVdM,forget-me-not,2019-02-06,4.9,57,https://open.spotify.com/track/64WsT14hhzXwbTEY1PntsU
